name,price,have_stock
AWP | PAW (Well-Worn),1.81,2
AWP | POP AWP (Factory New),3.28,41
AWP | POP AWP (Field-Tested),1.15,13
AWP | POP AWP (Minimal Wear),1.91,78
AWP | POP AWP (Well-Worn),1.46,0
AWP | Phobos (Factory New),1.57,125
AWP | Phobos (Field-Tested),1.01,87
AWP | Phobos (Minimal Wear),1.05,68
AWP | Phobos (Well-Worn),2.64,0
AWP | Pink DDPAT (Battle-Scarred),18.33,0
AWP | Pink DDPAT (Factory New),92.26,0
AWP | Pink DDPAT (Field-Tested),20.67,0
AWP | Pink DDPAT (Minimal Wear),37.91,17
AWP | Pink DDPAT (Well-Worn),21.33,1
AWP | Pit Viper (Battle-Scarred),0.57,0
AWP | Pit Viper (Field-Tested),0.43,50
AWP | Pit Viper (Minimal Wear),0.71,11
AWP | Pit Viper (Well-Worn),0.57,4
AWP | Redline (Field-Tested),38.48,16
AWP | Redline (Minimal Wear),64.03,1
AWP | Redline (Well-Worn),42.13,1
AWP | Safari Mesh (Battle-Scarred),0.27,60
AWP | Safari Mesh (Factory New),2.39,2
AWP | Safari Mesh (Field-Tested),0.09,0
AWP | Safari Mesh (Minimal Wear),0.17,16
AWP | Safari Mesh (Well-Worn),0.12,2
AWP | Silk Tiger (Factory New),290.02,1
AWP | Silk Tiger (Field-Tested),133.09,0
AWP | Silk Tiger (Minimal Wear),229.69,0
AWP | Snake Camo (Battle-Scarred),66.82,1
AWP | Snake Camo (Field-Tested),78.49,1
AWP | Snake Camo (Minimal Wear),68.37,0
AWP | Sun in Leo (Battle-Scarred),12.94,22
AWP | Sun in Leo (Factory New),19.99,2
AWP | Sun in Leo (Field-Tested),12.09,32
AWP | Sun in Leo (Minimal Wear),13.36,55
AWP | Sun in Leo (Well-Worn),12.1,2
AWP | The Prince (Factory New),3795.88,0
AWP | The Prince (Field-Tested),2795.08,0
AWP | The Prince (Minimal Wear),3074.8,0
AWP | Wildfire (Battle-Scarred),31.64,10
AWP | Wildfire (Factory New),128.88,0
AWP | Wildfire (Field-Tested),63.07,9
AWP | Wildfire (Minimal Wear),91.54,16
AWP | Wildfire (Well-Worn),56.51,1
AWP | Worm God (Factory New),2.11,32
AWP | Worm God (Field-Tested),1.17,109
AWP | Worm God (Minimal Wear),1.37,82
AWP | Worm God (Well-Worn),1.33,4
Aces High Pin,8.83,3
Alyx Pin,34.12,0
Antwerp 2022 Contenders Autograph Capsule,0.71,0
Antwerp 2022 Legends Autograph Capsule,1.04,0
Antwerp 2022 Legends Sticker Capsule,0.84,0
Antwerp 2022 Viewer Pass,9.62,0
Antwerp 2022 Viewer Pass + 3 Souvenir Tokens,16.04,0
Arno The Overgrown | Guerrilla Warfare,1.56,102
Aspirant | Gendarmerie Nationale,1.12,66
Atlanta 2017 Challengers (Holo-Foil),45.37,0
Atlanta 2017 Legends (Holo-Foil),68.27,0
Atlanta 2017 Train Souvenir Package,8.36,0
Audience Participation Parcel,37.33,0
Autograph Capsule | Astralis | Atlanta 2017,4.72,0
Autograph Capsule | Astralis | MLG Columbus 2016,3.4,0
Autograph Capsule | Challengers (Foil) | Atlanta 2017,45.3,0
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,30.42,0
Autograph Capsule | Challengers (Foil) | Cologne 2016,45.63,2
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,25.14,0
Autograph Capsule | Cloud9 G2A | Cologne 2015,7.55,0
Autograph Capsule | Cloud9 | Cluj-Napoca 2015,7.73,6
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,3.88,0
Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,2.98,0
Autograph Capsule | FaZe Clan | MLG Columbus 2016,4.04,0
Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,5.89,0
Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,3.95,0
Autograph Capsule | Flipsid3 Tactics | Cologne 2015,3.4,0
Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,3.43,0
Autograph Capsule | Fnatic | Atlanta 2017,3.58,2
Autograph Capsule | Fnatic | Cluj-Napoca 2015,2.25,25
Autograph Capsule | Fnatic | Cologne 2015,2.54,1
Autograph Capsule | Fnatic | Cologne 2016,5.56,0
Autograph Capsule | Fnatic | MLG Columbus 2016,3.12,0
Autograph Capsule | G2 Esports | Atlanta 2017,3.1,0
Autograph Capsule | G2 Esports | Cluj-Napoca 2015,3.47,18
Autograph Capsule | GODSENT | Atlanta 2017,3.04,0
Autograph Capsule | Gambit Gaming | MLG Columbus 2016,5.13,16
Autograph Capsule | Group A (Foil) | Cologne 2015,8.73,0
Autograph Capsule | Group B (Foil) | Cologne 2015,11.89,0
Autograph Capsule | Group C (Foil) | Cologne 2015,12.68,0
Autograph Capsule | Group D (Foil) | Cologne 2015,12.75,0
Autograph Capsule | HellRaisers | Atlanta 2017,5.18,1
Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015,14.01,0
Autograph Capsule | Legends (Foil) | Cologne 2016,39.15,0
Autograph Capsule | Legends (Foil) | MLG Columbus 2016,17.35,0
Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,6.11,0
Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,4.85,0
Autograph Capsule | Natus Vincere | Atlanta 2017,27.7,0
Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,4.05,0
Autograph Capsule | Natus Vincere | Cologne 2015,4.9,0
Autograph Capsule | Natus Vincere | MLG Columbus 2016,3.35,2
